Source Name               Right Asc.           Declination
0841+708 ................ 8.690101 ........... 70.895048 
0841+708 ................ 8.690102 ........... 70.895047 
0854+201 ................ 8.913576 ........... 20.108512 
0858+5557 ............... 8.582000 ........... 55.570000 
0902-142 ................ 9.038009 ........... -14.258577 
0903+468 ................ 9.051108 ........... 46.851149 
0909+013 ................ 9.152803 ........... 1.359893 
0909+428 ................ 9.159297 ........... 42.896243 
0909+428 ................ 9.159305 ........... 42.896244 
0917+624 ................ 9.360070 ........... 62.264473 
0920+446 ................ 9.349572 ........... 44.698329 
0921+622 ................ 9.360064 ........... 62.264494 
0921-263 ................ 9.358154 ........... -26.312052 
0922-399 ................ 9.379561 ........... -39.993074 
0927+390 ................ 9.450837 ........... 39.039125 
0927+390 ................ 9.450837 ........... 39.039126 
0927-205 ................ 9.464396 ........... -20.580898 
0956+252 ................ 9.947188 ........... 25.254458 
0957+553 ................ 9.960603 ........... 55.382778 
0958+324 ................ 9.972486 ........... 32.400605 
0958+655 ................ 9.979790 ........... 65.565226 
100286 .................. 0.349201 ........... 67.667471 
100647 .................. 0.751299 ........... 75.937798 
1007+139 ................ 10.128194 .......... 13.941556 
1008+075 ................ 10.133338 .......... 7.504598 
100916 .................. 1.090691 ........... 63.721293 
101222 .................. 1.483639 ........... 86.933092 
101223 .................. 1.483916 ........... 74.205035 
101293 .................. 1.575907 ........... 68.948137 
1013+248 ................ 10.231509 .......... 24.821211 
1014+230 ................ 10.246407 .......... 23.021269 
101880 .................. 2.289737 ........... 61.351589 
102106 .................. 2.561180 ........... 77.667284 
102356 .................. 2.888108 ........... 78.670726 
102372 .................. 2.917577 ........... 61.910451 
102429 .................. 2.992367 ........... 80.250622 
103298 .................. 4.159733 ........... 69.541393 
103484 .................. 4.440685 ........... 70.094545 
103552 .................. 4.537766 ........... 77.623943 
103625 .................. 4.631173 ........... 60.676196 
1037-295 ................ 10.621133 .......... -29.567448 
103781 .................. 4.865848 ........... 66.495984 
103795 .................. 4.882230 ........... 75.710097 
